star_id,planet_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,snr,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag
12168280,K08297.01,CANDIDATE,229.957537,7.59,400.0,43.78,444.0,9.22,10.2,6419.0,3.978,2.057,295.97794,50.771481,10.505
12117215,K08296.01,FALSE POSITIVE,272.54288087,3.0246,807.2,2.35,255.0,1.0,5.7,5677.0,4.563,0.828,294.92795,50.662369,15.111
11923074,K08295.01,FALSE POSITIVE,1.75647084,2.538,69.5,0.69,1405.0,924.14,10.9,5813.0,4.561,0.833,296.14072,50.279949,14.723
11867733,K08294.01,FALSE POSITIVE,384.356448,3.872,715.7,3.03,255.0,1.0,13.2,5903.0,4.445,0.994,293.77362,50.12447,14.391
10585887,K08293.01,FALSE POSITIVE,378.65484,11.3,247.8,1.53,258.0,1.04,6.8,6000.0,4.463,0.97,285.24338,47.812592,14.872
10532751,K08292.01,FALSE POSITIVE,367.761848,4.891,428.0,20.06,623.0,35.55,9.8,5348.0,2.897,9.888,290.87155,47.753368,10.736
10471090,K08291.01,FALSE POSITIVE,0.93376089,3.027,27.3,0.57,2064.0,4286.78,9.7,6292.0,4.426,1.078,292.15829,47.67271,14.388
10459805,K08290.01,FALSE POSITIVE,461.13781,12.91,408.2,1.26,173.0,0.21,7.4,4988.0,4.663,0.636,287.14548,47.686989,15.69
10341781,K08289.01,FALSE POSITIVE,0.93371211,4.76,126.2,0.75,1318.0,715.48,14.3,4604.0,4.591,0.696,292.71887,47.47094,15.393
10226420,K08288.01,FALSE POSITIVE,0.660663034,2.81,134.0,1.32,2385.0,7605.89,23.3,6353.0,4.397,1.134,298.15732,47.29166,14.784
10010452,K08287.01,FALSE POSITIVE,358.74318,19.76,760.5,2.25,224.0,0.6,15.9,5482.0,4.566,0.826,291.28595,46.920551,14.806
9592621,K08286.01,CANDIDATE,191.03728,3.595,1607.0,3.54,286.0,1.58,7.0,5440.0,4.497,0.901,293.6839,46.265541,16.652
9536836,K08285.01,FALSE POSITIVE,320.347208,7.159,262.8,1.58,274.0,1.33,8.8,6146.0,4.497,0.943,295.90207,46.116138,13.996
9532997,K08284.01,FALSE POSITIVE,49.763624,2.749,412.0,2.43,588.0,28.31,6.8,6477.0,4.361,1.187,294.48926,46.140121,14.867
9388557,K08283.01,FALSE POSITIVE,209.941369,2.97,477.3,14.36,651.0,42.43,10.2,5125.0,2.988,6.69,283.77472,45.910831,13.066
9239670,K08282.01,FALSE POSITIVE,456.55308,4.435,116.2,1.48,270.0,1.26,7.3,5678.0,4.161,1.298,298.90518,45.61084,11.858
9209808,K08281.01,FALSE POSITIVE,244.547128,3.59,587.0,1.74,228.0,0.64,6.4,5094.0,4.612,0.736,287.89438,45.606468,15.492
9159288,K08280.01,CANDIDATE,66.67305,6.381,472.1,2.64,542.0,20.35,9.6,6592.0,4.369,1.19,293.68979,45.549332,14.634
9011955,K08279.01,CANDIDATE,367.0896,28.02,2092.3,35.3,281.0,1.48,27.7,6268.0,4.429,1.1,287.86737,45.321289,15.267
8873674,K08278.01,FALSE POSITIVE,172.280975,12.24,313.8,1.6,301.0,1.95,10.2,5659.0,4.538,0.869,286.86218,45.151569,15.112
8673511,K08277.01,CANDIDATE,0.757261281,0.905,36.5,0.58,1908.0,3119.75,10.2,5651.0,4.479,0.953,284.29565,44.895859,14.024
8637903,K08276.01,CANDIDATE,385.858683,12.071,548.4,3.23,300.0,1.92,21.2,6551.0,4.367,1.195,296.40787,44.77364,13.993
8329346,K08275.01,CANDIDATE,389.875816,3.336,2134.0,3.76,207.0,0.44,8.9,5289.0,4.588,0.79,300.69672,44.298409,15.953
8293631,K08274.01,FALSE POSITIVE,449.557346,17.227,1193.1,55.33,721.0,64.05,28.4,5323.0,2.51,15.075,289.64142,44.224751,13.81
8108450,K08273.01,FALSE POSITIVE,386.78734,15.51,743.7,2.34,224.0,0.6,10.3,5425.0,4.484,0.847,295.49759,43.909611,15.876
8022520,K08272.01,CANDIDATE,432.42787,19.63,110.3,1.14,259.0,1.07,6.0,6263.0,4.46,1.009,289.66574,43.879459,13.814
8008913,K08271.01,FALSE POSITIVE,34.9989085,1.764,427.1,1.65,376.0,4.74,7.5,4559.0,4.653,0.648,282.90509,43.871769,15.326
7832787,K08270.01,CANDIDATE,338.00692,16.745,544.3,2.09,249.0,0.91,15.3,5741.0,4.502,0.898,295.22299,43.590439,15.023
7751294,K08269.01,FALSE POSITIVE,371.4589776,10.0734,456.6,2.22,283.0,1.51,10.8,6388.0,4.427,1.033,291.19321,43.475128,14.28
7451315,K08268.01,FALSE POSITIVE,368.5224,36.29,1330.2,26.7,260.0,1.09,22.7,6063.0,4.473,0.941,293.7084,43.08815,15.564
7106438,K08267.01,FALSE POSITIVE,269.331027,4.891,515.7,2.54,304.0,2.02,7.9,6129.0,4.419,1.055,288.08368,42.676392,15.394
6946985,K08266.01,FALSE POSITIVE,440.584562,10.534,65.9,1.67,505.0,15.38,16.1,9935.0,4.205,1.996,291.2955,42.44994,9.397
6681618,K08265.01,FALSE POSITIVE,364.42189,38.14,2498.0,36.37,264.0,1.14,28.5,6047.0,4.47,1.002,288.77316,42.137081,15.975
6583107,K08264.01,FALSE POSITIVE,30.6261927,1.107,162.6,1.55,655.0,43.61,6.6,5860.0,4.244,1.197,283.24283,42.028561,13.891
6356506,K08263.01,CANDIDATE,280.55544,12.757,401.4,2.17,308.0,2.13,9.3,6292.0,4.426,1.078,289.32593,41.749939,15.16
6195669,K08262.01,FALSE POSITIVE,370.94353,16.64,1071.3,27.77,228.0,0.64,14.6,5755.0,4.588,0.776,288.81357,41.555119,15.048
6182508,K08261.01,FALSE POSITIVE,85.9770426,1.919,1064.0,1.46,202.0,0.4,8.0,3710.0,4.797,0.452,282.90985,41.502739,15.901
6032318,K08260.01,FALSE POSITIVE,235.20613,6.989,642.0,1.71,230.0,0.66,6.8,5205.0,4.648,0.679,288.43362,41.358391,15.917
5956171,K08259.01,CANDIDATE,402.27493,15.67,294.5,1.73,262.0,1.11,11.1,6299.0,4.486,0.95,290.4519,41.22551,14.619
5871116,K08258.01,FALSE POSITIVE,54.432903,3.554,307.6,1.41,404.0,6.29,7.7,5119.0,4.493,0.827,290.10568,41.13895,15.393
