planet_id,star_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag,stellar_dist,disposition_aligned
1000.01,50365310,FP,2.1713484,2.0172196,656.8860989,5.8181633,3127.2040524,22601.9485814,10249.0,4.19,2.16986,112.357708,-12.69596,9.604,485.735,FALSE POSITIVE
1001.01,88863718,PC,1.9316462,3.166,1286.0,11.2154,4045.0,44464.5,7070.0,4.03,2.01,122.580465,-5.513852,9.42344,295.862,CANDIDATE
1002.01,124709665,FP,1.8675574,1.408,1500.0,23.7529,2037.0,2860.61,8924.0,,5.73,104.726966,-10.580455,9.299501,943.109,FALSE POSITIVE
1003.01,106997505,FP,2.74323,3.167,383.41,,1631.0,1177.36,5388.5,4.15,,110.559945,-25.207017,9.3003,7728.17,FALSE POSITIVE
1004.01,238597883,FP,3.5730141,3.37,755.0,11.3113,4260.0,54679.3,9219.0,4.14,2.15,122.178195,-48.802811,9.1355,356.437,FALSE POSITIVE
1005.01,169904935,FP,4.5505945,2.654,3731.0,7.10841,1257.0,414.775,5613.0,,1.09,120.704811,-11.101521,9.1309,100.711,FALSE POSITIVE
1006.01,156115721,FP,2.5047918,4.3797563,2270.5402194,8.6950898,1649.8220699,1750.932635,6616.0,,1.53429,124.359239,-27.273521,9.2386,,FALSE POSITIVE
1007.01,65212867,PC,6.9989206,3.953,2840.0,14.7752,1282.0,448.744,6596.0,3.71,2.7,112.752393,-4.463359,8.87759,283.291,CANDIDATE
1008.01,440801822,FP,2.0483755,2.767,483.0,3.19621,,5644.4,6858.5,4.2,1.57,109.382839,13.395219,8.9362,144.297,FALSE POSITIVE
1009.01,107782586,PC,1.9600277,2.0065257,1707.6272693,,1456.4246534,1063.3422958,8868.7,,,111.667845,-24.462111,8.4331,866.147,CANDIDATE
1010.01,139853601,FP,0.6808702,2.4634563,1507.8006889,5.9115908,4382.0266062,87140.6995884,9438.0,,1.0,112.293981,-21.832912,8.45086,485.122,FALSE POSITIVE
1011.01,114018671,PC,2.4704981,2.191,250.0,1.44656,1364.0,575.597,5413.7,4.46,0.94,113.984761,-32.841999,8.2388,52.62,CANDIDATE
1012.01,427508467,APC,0.884182,1.621,1890.0,24.8132,5098.0,112144.0,8928.0,3.92,2.72,117.095285,6.785064,8.12718,295.959,CANDIDATE
1013.01,97700520,FP,5.4255548,3.9637474,14939.6342222,,1037.2753045,273.5880696,8868.7,,,107.286063,-31.933523,7.6095,510.295,FALSE POSITIVE
1014.01,96246348,FP,1.4095184,0.9484999,2841.5103258,,1625.6180218,1650.422071,9307.0,,,103.561602,-34.22282,7.678,224.672,FALSE POSITIVE
1015.01,155044736,FP,1.3730466,2.5708515,1301.5065338,42.1479417,1912.3318636,3160.6328329,4897.0,,6.7996101,122.895964,-27.971896,10.7069,906.496,FALSE POSITIVE
1016.01,175310067,FP,12.6889415,7.9201001,3232.8527885,14.0608342,1158.1310368,425.1594177,7601.0,4.31,1.53641,116.110771,-36.098285,10.6257,368.646,FALSE POSITIVE
1017.01,182943944,FP,1.10422,2.37,14177.7,21.0448,3926.0,39459.3,6995.2,4.07,1.61,124.726411,-37.78325,10.6019,406.997,FALSE POSITIVE
1018.01,291555748,FP,4.95912,2.509,7440.0,22.9123,1419.0,673.55,5889.0,3.86,2.0,111.716019,-50.266567,10.6254,360.541,FALSE POSITIVE
1019.01,341420329,PC,5.2341008,3.7078139,20796.9416293,24.2931408,1574.8381848,1453.6663847,7645.0,4.3,1.56203,120.147994,-54.878552,10.6348,399.544,CANDIDATE
1020.01,140706664,FP,3.28892,3.793,10518.9,,3661.0,29832.6,8734.2,4.1,,128.381976,-43.828421,10.7173,906.827,FALSE POSITIVE
1021.01,143994283,FP,1.90879,1.909,618.482,3.34688,1561.0,985.807,6022.6,4.52,1.22,119.30075,-42.999149,10.5551,235.974,FALSE POSITIVE
1022.01,47384844,FA,3.09574,4.475,380.0,3.4262,3230.0,18087.9,6084.0,4.13,1.41,162.96491,-5.788708,8.72924,120.666,FALSE POSITIVE
1023.01,238374636,FP,1.3214483,3.435,2180.0,21.8839,3827.0,35623.2,5050.8,3.56,2.99,120.837688,-51.345626,9.697,316.398,FALSE POSITIVE
1024.01,141482386,FP,18.0157,2.524,610.0,21.644,463.0,7.64364,4709.0,,7.61,86.820714,-72.422611,10.0814,692.266,FALSE POSITIVE
